Asentamiento,Tipo de Asentamiento,Código Postal,Municipio,Ciudad,Zona,Mapa
Algarin,Colonia,6880,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Ampliación Asturias,Colonia,6890,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Asturias,Colonia,6850,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Atlampa,Colonia,6450,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Buenavista,Colonia,6350,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Buenos Aires,Colonia,6780,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Centro (Área 1),Colonia,6000,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Centro (Área 2),Colonia,6010,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Centro (Área 3),Colonia,6020,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Centro (Área 4),Colonia,6040,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Centro (Área 5),Colonia,6050,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Centro (Área 6),Colonia,6060,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Centro (Área 7),Colonia,6070,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Centro (Área 8),Colonia,6080,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Centro (Área 9),Colonia,6090,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Condesa,Colonia,6140,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Cuauhtémoc,Colonia,6500,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Doctores,Colonia,6720,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Esperanza,Colonia,6840,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Ex-Hipódromo de Peralvillo,Colonia,6250,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Felipe Pescador,Colonia,6280,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Guerrero,Colonia,6300,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Hipódromo,Colonia,6100,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Hipódromo Condesa,Colonia,6170,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Juárez,Colonia,6600,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Maza,Colonia,6270,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Morelos,Colonia,6200,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Nonoalco Tlatelolco,Colonia,6900,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Obrera,Colonia,6800,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Paulino Navarro,Colonia,6870,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Peralvillo,Colonia,6220,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Roma Norte,Colonia,6700,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Roma Sur,Colonia,6760,Cuauhtémoc,Ciudad de México,Urbana,Mapa
San Rafael,Colonia,6470,Cuauhtémoc,Ciudad de México,Urbana,Mapa
San Simón Tolnáhuac,Colonia,6920,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Santa María Insurgentes,Colonia,6430,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Santa María la Ribera,Colonia,6400,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Tabacalera,Colonia,6030,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Tránsito,Colonia,6820,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Valle Gómez,Colonia,6240,Cuauhtémoc,Ciudad de México,Urbana,Mapa
Vista Alegre,Colonia,6860,Cuauhtémoc,Ciudad de México,Urbana,Mapa
10 de Abril,Colonia,11250,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
16 de Septiembre,Colonia,11810,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
5 de Mayo,Colonia,11470,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Agricultura,Colonia,11360,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Ahuehuetes Anáhuac,Colonia,11450,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
América,Colonia,11820,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Ampliación Daniel Garza,Colonia,11840,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Ampliación Granada,Colonia,11529,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Ampliación Popo,Colonia,11489,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Ampliación Torre Blanca,Colonia,11289,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Anáhuac I Sección,Colonia,11320,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Anáhuac II Sección,Colonia,11320,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Anzures,Colonia,11590,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Argentina Antigua,Colonia,11270,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Argentina Poniente,Colonia,11230,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Bosque de Chapultepec I Sección,Equipamiento,11580,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Bosque de Chapultepec II Sección,Equipamiento,11100,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Bosque de Chapultepec III Sección,Equipamiento,11100,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Bosque de las Lomas,Colonia,11700,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Campo Militar 1,Equipamiento,11619,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Cuauhtémoc Pensil,Colonia,11490,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Daniel Garza,Colonia,11830,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Deportivo Pensil,Colonia,11470,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Dos Lagos,Colonia,11460,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Escandón I Sección,Colonia,11800,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Escandón II Sección,Colonia,11800,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Francisco I Madero,Colonia,11480,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Granada,Colonia,11520,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Huíchapan,Colonia,11290,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Ignacio Manuel Altamirano,Colonia,11240,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Irrigación,Colonia,11500,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Lago Norte,Colonia,11460,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
Lago Sur,Colonia,11460,Miguel Hidalgo,Ciudad de México,Urbana,Mapa
